Source Page,Source Row,Barangay,Flood Susceptibility,Likelihood of Occurrence Score,Flood Depth,Barangay Population,Number of HH,Barangay Residential Area,Residential Population Density,Affected Residential Area,Affected HH,Affected Population,Exposure Percentage,Exposure Score,Informal Settlers (IS) — No. of Exposed HH,Informal Settlers (IS) — Percentage,Informal Settlers (IS) — Sensitivity Score,Light/Salvageable-Material Dwellings — No. of Exposed HH,Light/Salvageable-Material Dwellings — Percentage,Light/Salvageable-Material Dwellings — Sensitivity Score,Young and Old Dependents — No. of Exposed Individuals,Young and Old Dependents — Percentage,Young and Old Dependents — Sensitivity Score,Persons with Disabilities — No. of Exposed Individuals,Persons with Disabilities — Percentage,Persons with Disabilities — Sensitivity Score,Below Poverty Threshold — No. of Exposed HH,Below Poverty Threshold — Percentage,Below Poverty Threshold — Sensitivity Score,Malnourished Individuals — No. of Exposed Individuals,Malnourished Individuals — Percentage,Malnourished Individuals — Sensitivity Score,Access to Infrastructure-Related Mitigation Measures — Proportion,Access to Infrastructure-Related Mitigation Measures — Adaptive Capacity Score,Access to Financial Assistance — Proportion,Access to Financial Assistance — Adaptive Capacity Score,Capacity/Willingness to Retrofit or Relocate — Proportion,Capacity/Willingness to Retrofit or Relocate — Adaptive Capacity Score,Access to Information — Proportion,Access to Information — Adaptive Capacity Score,Government Investments — Capacity,Government Investments — Adaptive Capacity Score,Vulnerability Score,Severity of Consequence Score,Risk Score,Risk Category,Level of Risk,Level of Land Use Control
3,10,SAN ANTONIO,Moderate,4,≥1m,1651,242,29.340,56.271,7.468,232,1083,65.60%,4,0,0.00%,1,43,2.75%,1,248,15.89%,3,16,1.02%,1,45,2.88%,1,0,0.00%,1,20.00%,1,0.00%,4,40.00%,1,100.00%,1,moderate,1,1.47,2.73,10.93,moderate,tolerable,discretionary
3,11,SAN ANTONIO,High,5,≥1m,1651,242,29.340,56.271,4.111,119,552,33.43%,4,0,0.00%,1,23,1.47%,1,70,4.48%,1,0,0.00%,1,15,0.96%,1,0,0.00%,1,20.00%,1,0.00%,4,40.00%,1,100.00%,1,moderate,1,1.30,2.65,13.25,high,intolerable,"restricted, discretionary"
3,12,SAN FERNANDO,Low,3,≥1m,1670,310,14.759,113.151,6.845,292,1361,81.50%,4,0,0.00%,1,124,7.43%,2,432,25.87%,4,16,0.36%,1,57,3.41%,1,0,0.00%,1,5.00%,4,0.00%,4,60.00%,1,100.00%,1,moderate,1,1.93,2.97,8.90,moderate,tolerable,discretionary
3,13,SAN FERNANDO,Moderate,4,≥1m,1670,310,14.759,113.151,5.805,180,950,56.89%,4,0,0.00%,1,83,4.97%,1,271,16.23%,3,11,0.66%,1,49,2.93%,1,0,0.00%,1,5.00%,4,0.00%,4,60.00%,1,100.00%,1,moderate,1,1.77,2.88,11.53,moderate,tolerable,discretionary
3,14,SAN FERNANDO,High,5,≥1m,1670,310,14.759,113.151,,1,1,0.06%,1,0,0.00%,1,0,0.00%,1,0,0.00%,1,0,0.00%,1,0,0.00%,1,0,0.00%,1,5.00%,4,0.00%,4,60.00%,1,100.00%,1,moderate,1,1.60,1.30,6.50,moderate,tolerable,discretionary
3,15,SAWA,Moderate,4,≥1m,1460,238,16.648,87.698,1.459,62,212,14.52%,3,0,0.00%,1,14,0.96%,1,75,5.14%,2,4,0.27%,1,18,1.23%,1,0,0.00%,1,10.00%,3,0.00%,4,30.00%,1,100.00%,1,moderate,1,1.58,2.29,9.17,moderate,tolerable,discretionary
3,16,SAWA,High,5,≥1m,1460,238,16.648,87.698,10.992,225,1078,73.84%,4,0,0.00%,1,27,1.85%,1,193,6.37%,2,3,0.21%,1,41,2.81%,1,0,0.00%,1,10.00%,3,0.00%,4,30.00%,1,100.00%,1,moderate,1,1.58,2.79,13.96,high,intolerable,"restricted, discretionary"
3,17,SERUM,Low,3,≥1m,1096,215,9.369,116.982,0.215,15,73,6.66%,2,0,0.00%,1,4,0.36%,1,5,0.46%,1,0,0.00%,1,0,0.00%,1,0,0.00%,1,40.00%,1,0.00%,4,40.00%,1,100.00%,1,high,1,1.30,1.65,4.95,low,manageable,"controlled, permitted"
3,18,SERUM,Moderate,4,≥1m,1096,215,9.369,116.982,9.005,335,1084,98.91%,4,0,0.00%,1,99,9.03%,2,491,44.80%,4,14,1.28%,1,45,4.11%,1,0,0.00%,1,40.00%,1,0.00%,4,40.00%,1,100.00%,1,high,1,1.63,2.82,11.27,moderate,tolerable,discretionary
3,19,SERUM,High,5,≥1m,1096,215,9.369,116.982,,1,2,0.18%,1,0,0.00%,1,0,0.00%,1,0,0.00%,1,0,0.00%,1,0,0.00%,1,0,0.00%,1,40.00%,1,0.00%,4,40.00%,1,100.00%,1,high,1,1.30,1.15,5.75,moderate,tolerable,discretionary
3,20,SUGCA,Moderate,4,≥1m,269,60,1.651,162.932,1.651,70,270,100.37%,4,0,0.00%,1,40,14.87%,3,125,46.47%,4,2,0.74%,1,28,10.41%,3,0,0.00%,1,60.00%,1,0.00%,4,60.00%,1,100.00%,1,high,1,1.88,2.94,11.77,moderate,tolerable,discretionary
